alpha	beta	solved	time
1.0	7	1000	6.0280
1.0	8	1000	6.2111
1.0	9	1000	6.1760
1.0	10	1000	6.2653
1.0	11	1000	6.2885
1.0	12	1000	6.3630
1.0	13	1000	6.4076
1.0	14	1000	6.4173
1.0	15	1000	6.4035
1.0	16	1000	6.4617
1.0	17	1000	6.5786
1.0	18	1000	6.7721
1.0	19	1000	6.7313
1.0	20	1000	6.6706
1.1	1	1000	6.7581
1.1	2	1000	5.6817
1.1	3	1000	5.6935
1.1	4	1000	5.6792
1.1	5	1000	5.8575
1.1	6	1000	5.9137
1.1	7	1000	6.1374
1.1	8	1000	6.2268
1.1	9	1000	6.2143
1.1	10	1000	6.2931
1.1	11	1000	6.3791
1.1	12	1000	6.3970
1.1	13	1000	6.4366
1.1	14	1000	6.4542
1.1	15	1000	6.4316
1.1	16	1000	6.4558
1.1	17	1000	6.5884
1.1	18	1000	6.6501
1.1	19	1000	6.8585
1.1	20	1000	6.8704
1.2000000000000002	1	1000	6.6733
1.2000000000000002	2	1000	5.6798
1.2000000000000002	3	1000	5.4912
1.2000000000000002	4	1000	5.6102
1.2000000000000002	5	1000	5.9114
1.2000000000000002	6	1000	5.9122
1.2000000000000002	7	1000	6.0577
1.2000000000000002	8	1000	6.2613
1.2000000000000002	9	1000	6.2397
1.2000000000000002	10	1000	6.3206
1.2000000000000002	11	1000	6.3525
1.2000000000000002	12	1000	6.4007
1.2000000000000002	13	1000	6.4235
1.2000000000000002	14	1000	6.4135
1.2000000000000002	15	1000	6.4673
1.2000000000000002	16	1000	6.4475
1.2000000000000002	17	1000	6.5888
1.2000000000000002	18	1000	6.6379
1.2000000000000002	19	1000	6.6753
1.2000000000000002	20	1000	6.6525
1.3	1	1000	6.6216
1.3	2	1000	5.6705
1.3	3	1000	5.4848
1.3	4	1000	5.5982
1.3	5	1000	5.8399
1.3	6	1000	5.9020
1.3	7	1000	6.0583
1.3	8	1000	6.2129
1.3	9	1000	6.2116
1.3	10	1000	6.2830
1.3	11	1000	6.3659
1.3	12	1000	6.4371
1.3	13	1000	6.4770
1.3	14	1000	6.5202
1.3	15	1000	6.4194
1.3	16	1000	6.4724
1.3	17	1000	6.6199
1.3	18	1000	6.6301
1.3	19	1000	6.6463
1.3	20	1000	6.6497
1.4000000000000001	1	1000	6.6135
1.4000000000000001	2	1000	5.6652
1.4000000000000001	3	1000	5.4870
1.4000000000000001	4	1000	5.6034
1.4000000000000001	5	1000	5.8242
1.4000000000000001	6	1000	5.8985
1.4000000000000001	7	1000	6.0827
1.4000000000000001	8	1000	6.2332
1.4000000000000001	9	1000	6.2262
1.4000000000000001	10	1000	6.3211
1.4000000000000001	11	1000	6.3450
1.4000000000000001	12	1000	6.4125
1.4000000000000001	13	1000	6.4655
1.4000000000000001	14	1000	6.4786
1.4000000000000001	15	1000	6.4540
1.4000000000000001	16	1000	6.4746
1.4000000000000001	17	1000	6.5899
1.4000000000000001	18	1000	6.8049
1.4000000000000001	19	1000	6.6763
1.4000000000000001	20	1000	6.6590
1.5	1	1000	6.6686
1.5	2	1000	5.7568
1.5	3	1000	5.5464
1.5	4	1000	5.6549
1.5	5	1000	5.8149
1.5	6	1000	5.8697
1.5	7	1000	6.0723
1.5	8	1000	6.3068
1.5	9	1000	6.2955
1.5	10	1000	6.3033
1.5	11	1000	6.3483
1.5	12	1000	6.3852
1.5	13	1000	6.4592
1.5	14	1000	6.4155
1.5	15	1000	6.4576
1.5	16	1000	6.4746
1.5	17	1000	6.6098
1.5	18	1000	6.6544
1.5	19	1000	6.6637
1.5	20	1000	6.7106
1.6	1	1000	6.6933
1.6	2	1000	5.7100
1.6	3	1000	5.4663
1.6	4	1000	5.5477
1.6	5	1000	5.7921
1.6	6	1000	5.9662
1.6	7	1000	6.0768
1.6	8	1000	6.2333
1.6	9	1000	6.2214
1.6	10	1000	6.3431
1.6	11	1000	6.3662
1.6	12	1000	6.4299
1.6	13	1000	6.4219
1.6	14	1000	6.4311
1.6	15	1000	6.3779
1.6	16	1000	6.3914
1.6	17	1000	6.5477
1.6	18	1000	6.5388
1.6	19	1000	6.6060
1.6	20	1000	6.5891
1.7000000000000002	1	1000	6.5718
1.7000000000000002	2	1000	5.5877
1.7000000000000002	3	1000	5.4462
1.7000000000000002	4	1000	5.5196
1.7000000000000002	5	1000	5.7763
1.7000000000000002	6	1000	5.8582
1.7000000000000002	7	1000	6.0008
1.7000000000000002	8	1000	6.2377
1.7000000000000002	9	1000	6.2470
1.7000000000000002	10	1000	6.2410
1.7000000000000002	11	1000	6.3236
1.7000000000000002	12	1000	6.3319
1.7000000000000002	13	1000	6.3598
1.7000000000000002	14	1000	6.3826
1.7000000000000002	15	1000	6.3782
1.7000000000000002	16	1000	6.4263
1.7000000000000002	17	1000	6.5145
1.7000000000000002	18	1000	6.5957
1.7000000000000002	19	1000	6.6140
1.7000000000000002	20	1000	6.6096
1.8	1	1000	6.5887
1.8	2	1000	5.6375
1.8	3	1000	5.4441
1.8	4	1000	5.5169
1.8	5	1000	5.7986
1.8	6	1000	5.8149
1.8	7	1000	5.9758
1.8	8	1000	6.1385
1.8	9	1000	6.1433
1.8	10	1000	6.2097
1.8	11	1000	6.2645
1.8	12	1000	6.3180
1.8	13	1000	6.3547
1.8	14	1000	6.3438
1.8	15	1000	6.3488
1.8	16	1000	6.3881
1.8	17	1000	6.5322
1.8	18	1000	6.5499
1.8	19	1000	6.6066
1.8	20	1000	6.6187
1.9000000000000001	1	1000	6.5454
1.9000000000000001	2	1000	5.6215
1.9000000000000001	3	1000	5.4142
1.9000000000000001	4	1000	5.5271
1.9000000000000001	5	1000	5.7314
1.9000000000000001	6	1000	5.8364
1.9000000000000001	7	1000	5.9473
1.9000000000000001	8	1000	6.1402
1.9000000000000001	9	1000	6.1386
1.9000000000000001	10	1000	6.2038
1.9000000000000001	11	1000	6.2800
1.9000000000000001	12	1000	6.3137
1.9000000000000001	13	1000	6.3398
1.9000000000000001	14	1000	6.3365
1.9000000000000001	15	1000	6.3500
1.9000000000000001	16	1000	6.3637
1.9000000000000001	17	1000	6.5024
1.9000000000000001	18	1000	6.5403
1.9000000000000001	19	1000	6.5504
1.9000000000000001	20	1000	6.5799
2.0	1	1000	6.5654
2.0	2	1000	5.5717
2.0	3	1000	5.4335
2.0	4	1000	5.5224
2.0	5	1000	5.7533
2.0	6	1000	5.8239
2.0	7	1000	5.9562
2.0	8	1000	6.1425
2.0	9	1000	6.1249
2.0	10	1000	6.2195
2.0	11	1000	6.2516
2.0	12	1000	6.2891
2.0	13	1000	6.3311
2.0	14	1000	6.3617
2.0	15	1000	6.3354
2.0	16	1000	6.3970
2.0	17	1000	6.4779
2.0	18	1000	6.5351
2.0	19	1000	6.5853
2.0	20	1000	6.6117
